Time,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Category,Weather
0,86,4,8,101.24,0,Fog
1,87,4,8,101.24,0,Fog
2,89,7,4,101.26,1,"Freezing Drizzle,Fog"
3,88,6,4,101.27,1,"Freezing Drizzle,Fog"
4,88,7,4.8,101.23,0,Fog
5,87,9,6.4,101.27,0,Fog
6,89,7,6.4,101.29,0,Fog
7,85,7,8,101.26,0,Fog
8,85,9,8,101.23,0,Fog
9,88,15,4,101.2,0,Fog
10,91,9,1.2,101.15,0,Fog
11,89,7,4,100.98,0,Fog
12,88,9,4.8,100.79,0,Fog
13,87,13,4.8,100.58,0,Fog
14,87,20,4.8,100.31,0,Fog
15,85,22,6.4,100.07,0,Fog
16,82,13,12.9,99.93,0,Mostly Cloudy
17,81,13,16.1,99.81,0,Cloudy
18,82,15,12.9,99.74,1,Rain
19,88,15,12.9,99.68,1,Rain
20,87,19,25,99.5,0,Cloudy
21,85,20,25,99.39,0,Cloudy
22,84,24,19.3,99.32,1,Rain Showers
23,79,30,25,99.31,0,Cloudy
0,77,35,25,99.26,1,Rain Showers
1,72,39,25,99.26,0,Cloudy
2,71,32,25,99.26,0,Mostly Cloudy
3,69,33,25,99.3,0,Mostly Cloudy
4,69,32,25,99.26,0,Mostly Cloudy
5,70,32,25,99.21,0,Mostly Cloudy
6,70,26,25,99.18,0,Mostly Cloudy
7,70,33,25,99.14,0,Mostly Cloudy
8,68,39,24.1,99.14,0,Mostly Cloudy
9,67,44,24.1,99.14,0,Mostly Cloudy
10,66,43,24.1,99.18,0,Mostly Cloudy
11,66,30,24.1,99.19,0,Mostly Cloudy
12,56,48,24.1,99.21,0,Mainly Clear
13,57,37,24.1,99.27,0,Mostly Cloudy
14,56,33,24.1,99.33,0,Mostly Cloudy
15,59,33,24.1,99.41,0,Mostly Cloudy
16,55,24,24.1,99.5,0,Mostly Cloudy
17,57,22,25,99.66,0,Snow Showers
18,57,28,25,99.86,0,Mostly Cloudy
19,57,24,25,100,0,Mostly Cloudy
20,54,24,25,100.07,0,Snow Showers
21,58,26,25,100.15,0,Snow Showers
22,54,20,25,100.26,0,Cloudy
23,59,17,19.3,100.27,0,Snow Showers
0,57,28,25,100.35,0,Snow Showers
1,54,20,25,100.43,0,Cloudy
2,65,22,12.9,100.53,0,Snow Showers
3,54,33,25,100.61,0,Snow Showers
4,53,24,25,100.68,0,Cloudy
5,60,22,25,100.76,0,Snow Showers
6,61,19,25,100.85,0,Snow Showers
7,63,19,25,100.95,0,Snow
8,58,26,24.1,101.07,0,Mostly Cloudy
9,56,19,24.1,101.2,0,Mostly Cloudy
10,56,24,24.1,101.29,0,Cloudy
11,54,22,24.1,101.33,0,Mostly Cloudy
12,52,20,24.1,101.34,0,Mainly Clear
13,54,22,24.1,101.34,0,Mainly Clear
14,50,22,24.1,101.38,0,Mainly Clear
15,53,19,24.1,101.44,0,Mainly Clear
16,52,22,24.1,101.51,0,Mainly Clear
17,53,22,24.1,101.58,0,Mainly Clear
18,52,24,25,101.64,0,Mainly Clear
19,50,24,25,101.74,0,Clear
20,49,24,25,101.82,0,Mainly Clear
21,52,15,25,101.86,0,Mostly Cloudy
22,52,20,25,101.86,0,Mostly Cloudy
23,55,17,25,101.87,0,Mostly Cloudy
0,56,13,25,101.88,0,Mostly Cloudy
1,58,11,25,101.86,0,Mainly Clear
2,61,15,25,101.89,0,Mainly Clear
3,59,13,25,101.88,0,Mainly Clear
4,59,13,25,101.82,0,Mainly Clear
5,62,9,25,101.77,0,Mainly Clear
6,61,11,25,101.74,0,Cloudy
7,60,11,25,101.75,0,Cloudy
8,57,17,24.1,101.73,0,Mostly Cloudy
9,61,9,24.1,101.68,0,Mostly Cloudy
10,63,7,24.1,101.54,0,Mostly Cloudy
11,56,13,24.1,101.41,0,Mostly Cloudy
12,51,11,24.1,101.25,0,Snow
13,53,11,24.1,101.07,0,Cloudy
14,53,7,19.3,100.97,0,Snow
15,61,11,9.7,100.89,0,Snow
16,61,13,19.3,100.79,0,Snow
17,71,9,4.8,100.76,0,Snow
18,75,11,9.7,100.69,0,Snow
19,71,9,16.1,100.65,0,Snow
20,71,9,16.1,100.61,0,Snow
21,73,7,11.3,100.54,0,Snow
22,77,6,9.7,100.5,0,Snow
23,79,6,9.7,100.42,0,Snow
0,79,4,9.7,100.32,0,Snow
1,81,0,9.7,100.29,0,Snow
2,80,9,8,100.28,0,Snow
3,81,11,9.7,100.24,0,Snow
4,83,9,4.8,100.21,0,Snow
5,82,4,4,100.19,0,Snow
6,82,6,6.4,100.26,0,Snow
7,82,9,9.7,100.31,0,Snow
8,79,11,9.7,100.39,0,Snow
9,76,9,24.1,100.42,0,Mainly Clear
10,73,17,48.3,100.45,0,Mainly Clear
11,70,22,48.3,100.41,0,Mainly Clear
12,69,20,48.3,100.38,0,Mainly Clear
13,66,26,48.3,100.4,0,Mainly Clear
14,65,22,48.3,100.46,0,Mainly Clear
15,55,26,48.3,100.52,0,Mainly Clear
16,55,19,24.1,100.6,0,Mainly Clear
17,56,11,25,100.65,0,Mainly Clear
18,56,11,25,100.71,0,Clear
19,61,7,25,100.8,0,Clear
20,62,9,25,100.83,0,Clear
21,63,13,25,100.83,0,Clear
22,63,7,25,100.85,0,Cloudy
23,61,9,25,100.83,0,Cloudy
0,56,13,25,100.81,0,Cloudy
1,55,17,25,100.81,0,Cloudy
2,61,9,25,100.84,0,Cloudy
3,64,0,9.7,100.76,0,Snow
4,68,15,3.2,100.7,0,Snow
5,71,19,2.8,100.61,0,Snow
6,71,22,4.8,100.58,0,Snow
7,85,22,2.4,100.52,0,Snow
8,73,24,11.3,100.51,0,Snow
9,71,26,19.3,100.53,0,Snow
10,72,28,16.1,100.47,0,Snow
11,72,17,24.1,100.36,0,Snow
12,74,28,19.3,100.23,0,Snow
13,74,20,24.1,100.13,0,Snow
14,75,19,19.3,100.07,0,Snow
15,79,19,12.9,100.06,0,Snow
16,78,19,19.3,100.1,0,Snow
17,78,17,25,100.15,0,Snow
18,78,17,19.3,100.12,0,Cloudy
19,79,15,25,100.13,0,Cloudy
20,80,11,25,100.15,0,Cloudy
21,79,9,25,100.13,0,Cloudy
22,79,11,19.3,100.16,0,Cloudy
23,79,7,16.1,100.15,0,Cloudy
0,79,6,16.1,100.13,0,Cloudy
1,80,0,19.3,100.11,0,Cloudy
2,79,4,19.3,100.15,0,Cloudy
3,79,4,19.3,100.12,0,Cloudy
4,79,6,19.3,100.1,0,Cloudy
5,80,4,19.3,100.12,0,Cloudy
6,80,7,16.1,100.12,0,Cloudy
7,81,7,16.1,100.16,0,Cloudy
8,82,9,8,100.1,1,"Freezing Drizzle,Fog"
9,82,7,9.7,100.15,1,"Freezing Rain,Fog"
10,84,7,8,100.13,1,Freezing Rain
11,84,9,9.7,100.08,1,Freezing Drizzle
12,84,13,9.7,100.05,1,Freezing Drizzle
13,83,15,9.7,100.07,1,Freezing Rain
14,83,6,8,100.09,0,Snow
15,83,11,8,100.09,0,Snow
16,84,0,8,100.15,0,Snow
17,84,13,8,100.27,0,Snow
18,85,6,9.7,100.33,0,Snow
19,86,6,8,100.41,0,Snow
20,87,4,9.7,100.48,0,Snow
21,88,0,6.4,100.5,0,Snow
22,89,4,4,100.54,0,Fog
23,87,22,9.7,100.62,0,Snow
0,76,32,25,100.72,0,Cloudy
1,74,32,25,100.8,0,Mostly Cloudy
2,71,30,25,100.98,0,Mostly Cloudy
3,69,32,25,101.13,0,Mainly Clear
4,69,22,25,101.21,0,Mainly Clear
5,70,13,25,101.33,0,Mainly Clear
6,68,13,25,101.47,0,Cloudy
7,69,11,25,101.59,0,Cloudy
8,69,11,24.1,101.7,0,Snow
9,65,17,24.1,101.81,0,Snow
10,67,17,9.7,101.89,0,Snow
11,65,22,24.1,101.92,0,Snow
12,66,15,24.1,101.9,0,Snow
